source_center,destination_center,median,count,std
IND000000AAL,IND411033AAA,28.4661,18,2.1861425993903696
IND000000AAQ,IND700028AAB,13.9007,2,0.21764746724921955
IND000000ABG,IND501359AAF,35.0149,11,1.675735941174937
IND000000ACA,IND140401AAA,71.38040000000001,1,
IND000000ACA,IND142401AAA,27.6177,6,6.821154898817844
IND000000ACA,IND143001AAA,156.737,16,12.41683657831676
IND000000ACA,IND144001AAB,70.1373,2,0.02418305191657883
IND000000ACA,IND147301AAA,76.31309999999999,2,55.396583715785205
IND000000ACA,IND151001AAA,209.4346,7,5.371244892458527
IND000000ACA,IND152026AAA,157.1617,3,5.305756671138762
IND000000ACA,IND160002AAC,88.9471,26,6.607057002868514
IND000000ACB,IND000000AEL,62.2188,23,6.946834111413769
IND000000ACB,IND110024AAA,69.58695,6,3.6333665439919476
IND000000ACB,IND110030AAD,50.8802,28,5.1984711212444665
IND000000ACB,IND110037AAK,39.2915,39,5.180008516777425
IND000000ACB,IND110037AAM,351.2874,3,11.866394922778095
IND000000ACB,IND110043AAA,38.424800000000005,17,4.428400574766042
IND000000ACB,IND110043AAC,60.0094,9,1.1446962260792177
IND000000ACB,IND110052AAA,67.32195,2,0.6238803130409014
IND000000ACB,IND110064AAA,59.407650000000004,48,8.005856001382735
IND000000ACB,IND110085AAB,69.0404,24,5.1512842707890085
IND000000ACB,IND110092AAC,73.7171,5,1.735923386270266
IND000000ACB,IND110095AAB,93.24334999999999,36,10.372251534175893
IND000000ACB,IND121002AAB,70.6197,57,6.145307671998312
IND000000ACB,IND121004AAB,64.8236,31,0.9361656373292782
IND000000ACB,IND122001AAA,35.951,57,8.034115187844126
IND000000ACB,IND122015AAC,37.52775,2,2.7592013708680225
IND000000ACB,IND123106AAB,158.4101,1,
IND000000ACB,IND124103AAA,57.37305,2,8.461876139781292
IND000000ACB,IND124141AAA,221.6467,1,
IND000000ACB,IND125001AAA,164.0601,9,2.0872541873236137
IND000000ACB,IND125005AAA,164.61425000000003,4,0.4711649994074918
IND000000ACB,IND127021AAA,118.19595000000001,4,5.389601096169672
IND000000ACB,IND127201AAA,174.8677,1,
IND000000ACB,IND131028AAB,132.06054999999998,92,11.13617528394765
IND000000ACB,IND160002AAC,289.6173,41,8.369377147292505
IND000000ACB,IND201001AAC,255.98430000000002,4,98.7252551823958
IND000000ACB,IND201007AAA,79.358,9,9.087182973715107
IND000000ACB,IND201301AAF,75.5451,9,5.771418955460125
IND000000ACB,IND201301AAM,218.9422,39,121.31945949724366
IND000000ACB,IND209304AAA,512.1734,9,58.263925451646315
IND000000ACB,IND221313AAA,891.1157499999999,6,195.77897326433617
IND000000ACB,IND284403AAA,495.90905,2,125.26658258228727
IND000000ACB,IND301001AAB,103.147,6,1.2423831470202757
IND000000ACB,IND302014AAA,236.00885,30,12.398851291374566
IND000000ACB,IND302022AAD,248.89335,20,14.329226510798243
IND000000ACB,IND328001AAA,311.9958,1,
IND000000ACB,IND382430AAB,882.4261,17,26.413000237033717
