route_schedule_uuid,trip_uuid,segment_actual_time,segment_osrm_time,segment_osrm_distance,actual_time,osrm_time,osrm_distance,cutoff_factor,start_scan_to_end_scan,od_start_time,od_end_time,source_center,destination_center,trip_duration_minutes
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153673978559739191,201.0,26.0,29.6374,229.0,38.0,43.4864,12.5,412.0,2018-09-12 08:09:45.597744,2018-09-12 11:36:40.915381,IND421302AAG,IND401104AAA,206.92196061666667
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153708949529986248,459.0,44.0,53.3782,485.0,58.0,71.1156,14.0,766.0,2018-09-16 09:18:15.300162,2018-09-16 19:39:16.885657,IND421302AAG,IND421302AAG,621.0264249166667
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153716205423269821,53.0,22.0,27.482499999999998,80.0,37.0,44.1415,13.0,300.0,2018-09-17 05:27:34.233020,2018-09-17 07:58:06.970639,IND421302AAG,IND401104AAA,150.54562698333334
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153725872900441053,161.0,27.0,29.6194,189.0,40.0,44.7153,12.5,328.0,2018-09-18 08:18:42.912675,2018-09-18 11:03:20.346611,IND421302AAG,IND401104AAA,164.62389893333332
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153734009199403563,157.0,51.0,58.5282,264.0,92.0,105.4581,12.75,636.0,2018-09-19 06:54:51.994318,2018-09-19 12:13:05.957722,IND421302AAG,IND421302AAG,318.2327234
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153736652015033931,66.0,25.0,29.0826,94.0,37.0,43.326899999999995,12.5,274.0,2018-09-19 14:15:20.150591,2018-09-19 16:33:02.353004,IND421302AAG,IND401104AAA,137.70337355
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153744825738773226,74.0,24.0,29.321399999999997,98.0,37.0,44.147800000000004,12.5,464.0,2018-09-20 12:57:37.388022,2018-09-20 16:50:31.141586,IND421302AAG,IND401104AAA,232.89589273333334
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153751220710282785,55.0,26.0,29.2318,79.0,38.0,43.2627,12.5,266.0,2018-09-21 06:43:27.103040,2018-09-21 08:57:00.533329,IND421302AAG,IND401104AAA,133.55717148333332
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153754319094792288,72.0,24.0,29.7573,120.0,37.0,44.7746,13.0,424.0,2018-09-21 15:19:50.948173,2018-09-21 18:51:55.961015,IND421302AAG,IND401104AAA,212.08354736666666
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153759752387969464,60.0,22.0,26.863500000000002,88.0,33.0,39.9357,12.5,266.0,2018-09-22 06:25:23.879954,2018-09-22 08:38:42.767586,IND421302AAG,IND401104AAA,133.31479386666666
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153768944199351696,45.0,22.0,27.2917,68.0,34.0,40.916799999999995,13.0,354.0,2018-09-23 07:57:21.993780,2018-09-23 10:54:27.440064,IND421302AAG,IND401104AAA,177.0907714
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153776716154482888,133.0,50.0,56.600899999999996,211.0,83.0,93.4465,12.5,650.0,2018-09-24 05:32:41.545086,2018-09-24 11:04:57.798259,IND421302AAG,IND421302AAG,332.27088621666667
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153779992786976800,159.0,49.0,57.7513,234.0,79.0,91.012,12.5,590.0,2018-09-24 14:38:47.870019,2018-09-24 20:27:07.253416,IND421302AAG,IND421302AAG,348.3230566166667
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153788442953323654,88.0,39.0,46.965599999999995,144.0,64.0,76.16460000000001,11.5,394.0,2018-09-25 14:07:09.533535,2018-09-25 19:11:07.091178,IND421302AAG,IND421302AAG,303.95929405
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153804091134941965,63.0,27.0,29.715,86.0,39.0,43.7035,12.5,336.0,2018-09-27 09:35:11.349898,2018-09-27 12:23:11.604965,IND421302AAG,IND401104AAA,168.00425111666667
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153812898851356184,61.0,24.0,28.3478,83.0,36.0,41.6485,12.5,280.0,2018-09-28 10:03:08.513823,2018-09-28 12:23:44.533314,IND421302AAG,IND401104AAA,140.60032485
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153815015735045102,146.0,46.0,54.89020000000001,213.0,75.0,88.63900000000001,12.5,1294.0,2018-09-28 15:55:57.350683,2018-09-29 02:44:11.858489,IND421302AAG,IND421302AAG,648.2417967666667
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153819547601162745,69.0,24.0,28.8463,107.0,35.0,40.9936,12.5,544.0,2018-09-29 04:31:16.011877,2018-09-29 09:03:25.347462,IND421302AAG,IND401104AAA,272.1555930833334
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153821812635719446,168.0,54.0,61.3297,232.0,83.0,93.031,12.5,1232.0,2018-09-29 10:48:46.357451,2018-09-29 22:37:40.550023,IND421302AAG,IND421302AAG,708.9032095333333
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153830146244868768,121.0,45.0,54.386300000000006,205.0,75.0,88.6164,12.5,614.0,2018-09-30 09:57:42.448992,2018-09-30 15:05:35.890857,IND421302AAG,IND421302AAG,307.89069775
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153839022927232633,89.0,25.0,29.1226,132.0,37.0,42.867999999999995,12.5,898.0,2018-10-01 10:37:09.272590,2018-10-01 18:06:30.175489,IND421302AAG,IND401104AAA,449.34838165
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153847071330846321,51.0,24.0,28.793100000000003,78.0,37.0,42.8638,13.0,368.0,2018-10-02 08:58:33.308757,2018-10-02 12:02:40.807656,IND421302AAG,IND401104AAA,184.12498165
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153849279658204769,234.0,52.0,59.1794,375.0,94.0,106.5881,12.5,724.0,2018-10-02 15:06:36.582300,2018-10-02 21:09:05.208042,IND421302AAG,IND421302AAG,362.4770957
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,trip-153855060535042680,67.0,24.0,28.7494,99.0,40.0,47.5752,13.0,330.0,2018-10-03 07:10:05.350668,2018-10-03 09:55:21.534952,IND421302AAG,IND401104AAA,165.2697380666667
thanos::sroute:00435307-de7f-4439-bd6a-5a2a9a3cd8bf,trip-153690344021579893,78.0,52.0,38.7785,251.0,143.0,109.074,20.75,960.0,2018-09-14 05:37:20.216024,2018-09-14 09:37:38.007719,IND560048AAB,IND562132AAA,240.29652825
thanos::sroute:00435307-de7f-4439-bd6a-5a2a9a3cd8bf,trip-153707747162975384,113.0,48.0,38.0694,371.0,138.0,105.8416,20.75,732.0,2018-09-16 05:57:51.630039,2018-09-16 09:01:39.084803,IND560048AAB,IND562132AAA,183.79091273333333
thanos::sroute:00435307-de7f-4439-bd6a-5a2a9a3cd8bf,trip-153733827540794297,96.0,42.0,35.7098,277.0,117.0,100.75989999999999,20.5,636.0,2018-09-19 06:24:35.408389,2018-09-19 09:04:13.358383,IND560048AAB,IND562132AAA,159.6324999
thanos::sroute:00435307-de7f-4439-bd6a-5a2a9a3cd8bf,trip-153748452753451778,218.0,59.0,47.2025,508.0,147.0,110.7277,21.0,2152.0,2018-09-20 23:02:07.534766,2018-09-21 08:00:40.958857,IND560048AAB,IND562132AAA,538.5570681833334
thanos::sroute:00435307-de7f-4439-bd6a-5a2a9a3cd8bf,trip-153751091428015202,149.0,50.0,38.7444,478.0,141.0,107.6675,20.75,936.0,2018-09-21 06:21:54.280496,2018-09-21 10:16:39.983479,IND560048AAB,IND562132AAA,234.76171638333332
thanos::sroute:00435307-de7f-4439-bd6a-5a2a9a3cd8bf,trip-153785547206881049,88.0,47.0,39.9777,257.0,139.0,109.31830000000001,21.0,444.0,2018-09-25 06:04:32.069094,2018-09-25 07:55:37.164510,IND560048AAB,IND562132AAA,111.0849236
thanos::sroute:00435307-de7f-4439-bd6a-5a2a9a3cd8bf,trip-153802934516473352,166.0,50.0,41.340599999999995,444.0,142.0,109.72900000000001,21.25,768.0,2018-09-27 06:22:25.165006,2018-09-27 09:34:50.800346,IND560048AAB,IND562132AAA,192.42725566666667
thanos::sroute:00435307-de7f-4439-bd6a-5a2a9a3cd8bf,trip-153811821177080983,127.0,53.0,44.0635,342.0,139.0,105.5223,21.0,572.0,2018-09-28 07:03:31.771057,2018-09-28 09:27:18.929848,IND560048AAB,IND562132AAA,143.78597985
