trial_id,timestamp,parameters,cost_score,service_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T12:32:22.359924,"{'cost_weight': 0.8061130707111727, 'service_weight': 0.41636263676521523, 'max_cascade_depth': 2, 'max_deadhead_minutes': 102.88903270636655, 'max_delay_minutes': 125.93490187169576}",0.02,1.0,0.013188205962395252,1.0,600.0,1.0,0,0.03674674034118652
2,2025-08-06T12:32:22.389470,"{'cost_weight': 0.6226531685542492, 'service_weight': 0.35847773087252577, 'max_cascade_depth': 2, 'max_deadhead_minutes': 85.72473619560284, 'max_delay_minutes': 162.880655774486}",0.02,1.0,0.012692560573069993,1.0,600.0,1.0,0,0.025054216384887695
3,2025-08-06T12:32:22.406548,"{'cost_weight': 0.6919764434128653, 'service_weight': 0.47029425631249755, 'max_cascade_depth': 2, 'max_deadhead_minutes': 38.196348171094385, 'max_delay_minutes': 174.1645136196663}",0.02,1.0,0.011907319759095276,1.0,600.0,1.0,0,0.017078161239624023
4,2025-08-06T12:32:22.438173,"{'cost_weight': 0.24195070490492637, 'service_weight': 0.3909554610369811, 'max_cascade_depth': 1, 'max_deadhead_minutes': 50.80334236710578, 'max_delay_minutes': 117.41605037675933}",0.02,1.0,0.0076457054117919365,1.0,600.0,1.0,0,0.030574798583984375
5,2025-08-06T12:32:22.472527,"{'cost_weight': 0.2557334338636371, 'service_weight': 0.7936105757793568, 'max_cascade_depth': 1, 'max_deadhead_minutes': 65.63080336806412, 'max_delay_minutes': 136.70920942650207}",0.02,1.0,0.004874158169552848,1.0,600.0,1.0,0,0.029262781143188477
6,2025-08-06T12:32:22.504832,"{'cost_weight': 0.7474527569965845, 'service_weight': 0.436096755415636, 'max_cascade_depth': 1, 'max_deadhead_minutes': 99.94603732958872, 'max_delay_minutes': 52.987618063981046}",0.02,1.0,0.012630696885222543,1.0,600.0,1.0,0,0.029971837997436523
7,2025-08-06T12:32:22.536716,"{'cost_weight': 0.4752105669942014, 'service_weight': 0.46830262696611347, 'max_cascade_depth': 3, 'max_deadhead_minutes': 66.74386744843915, 'max_delay_minutes': 164.3375893897153}",0.02,1.0,0.010073215086681433,1.0,600.0,1.0,0,0.02788567543029785
8,2025-08-06T12:32:22.554761,"{'cost_weight': 0.5862367406138392, 'service_weight': 0.8538934383459229, 'max_cascade_depth': 1, 'max_deadhead_minutes': 79.38978422471567, 'max_delay_minutes': 148.82696792890914}",0.02,1.0,0.008141440949974274,1.0,600.0,1.0,0,0.01662898063659668
9,2025-08-06T12:32:22.621155,"{'cost_weight': 0.3882804707569786, 'service_weight': 0.5849161938107755, 'max_cascade_depth': 3, 'max_deadhead_minutes': 81.03590550622528, 'max_delay_minutes': 38.0230260574081}",0.02,1.0,0.007979486261996873,1.0,600.0,1.0,0,0.019860029220581055
10,2025-08-06T12:32:22.654746,"{'cost_weight': 0.7685468173839501, 'service_weight': 0.48957014569522517, 'max_cascade_depth': 3, 'max_deadhead_minutes': 112.0023265771905, 'max_delay_minutes': 71.71803097149945}",0.02,1.0,0.012217414436619185,1.0,600.0,1.0,0,0.02834343910217285
11,2025-08-06T12:32:22.678404,"{'cost_weight': 0.12075217981073627, 'service_weight': 0.13447424457837537, 'max_cascade_depth': 1, 'max_deadhead_minutes': 59.3601191498996, 'max_delay_minutes': 101.22299513638814}",0.02,1.0,0.00946235720691997,1.0,600.0,1.0,0,0.012660026550292969
12,2025-08-06T12:32:22.704576,"{'cost_weight': 0.22256498691496607, 'service_weight': 0.8319200066169007, 'max_cascade_depth': 1, 'max_deadhead_minutes': 46.6933541753875, 'max_delay_minutes': 113.067259112918}",0.02,1.0,0.004221302119615989,1.0,600.0,1.0,0,0.015988826751708984
13,2025-08-06T12:32:22.739714,"{'cost_weight': 0.2996550685912549, 'service_weight': 0.8933580001525807, 'max_cascade_depth': 1, 'max_deadhead_minutes': 36.923764809656156, 'max_delay_minutes': 93.50620346864571}",0.02,1.0,0.005023500185237233,1.0,600.0,1.0,0,0.03306746482849121
14,2025-08-06T12:32:22.777530,"{'cost_weight': 0.10415409380072972, 'service_weight': 0.7124888512236844, 'max_cascade_depth': 1, 'max_deadhead_minutes': 51.209640716665604, 'max_delay_minutes': 139.4698874144926}",0.02,1.0,0.002550786593708122,1.0,600.0,1.0,0,0.029114723205566406
